item,label,date,platforms,country_of_origin,mobygames_id,youtube_url
http://www.wikidata.org/entity/Q119718261,Flip Side,1994,"Classic Mac OS,Atari ST",,,
http://www.wikidata.org/entity/Q119718264,Médas,1994,Classic Mac OS,,,
http://www.wikidata.org/entity/Q119718265,Quark/Hadron,1994,Classic Mac OS,,,
http://www.wikidata.org/entity/Q119718271,Swiss Lotto,1994,Atari ST,,,
http://www.wikidata.org/entity/Q119718448,Durch die Wüste,1994,MS-DOS,,,
http://www.wikidata.org/entity/Q123019873,Regent Deluxe,1994,"DOS,MS-DOS",,40494,
http://www.wikidata.org/entity/Q124300363,Oxyd,1994,Commodore 64,,,
http://www.wikidata.org/entity/Q117842346,Züri,1994,"Classic Mac OS,Commodore Amiga",,,https://www.youtube.com/watch?v=od9WOALixqY
http://www.wikidata.org/entity/Q3940363,Rolling Ronny,"1994,1991","Atari ST,AmigaOS,DOS,Commodore Amiga,Commodore 64,MS-DOS",,4134,
http://www.wikidata.org/entity/Q7835667,Traps 'n' Treasures,"1994,1993",Commodore Amiga,,13203,https://www.youtube.com/watch?v=brRfKerQ9vs
http://www.wikidata.org/entity/Q117842316,Kaiser Deluxe,1995,MS-DOS,,37365,
http://www.wikidata.org/entity/Q117842331,Technodream,1995,Commodore 64,,,
http://www.wikidata.org/entity/Q119718263,Kaa,1995,Classic Mac OS,,,
http://www.wikidata.org/entity/Q119718274,Tim und Nina,1995,MS-DOS,,,
http://www.wikidata.org/entity/Q2688033,Necronom,"1995,1991",Commodore Amiga,,13846,https://www.youtube.com/watch?v=FPHRu5jOj2w
http://www.wikidata.org/entity/Q104959937,Starbirds,1996,"AmigaOS,Commodore Amiga",,14036,
http://www.wikidata.org/entity/Q117842296,Blupimania,1996,"Smaky,MS-DOS",,166711,
http://www.wikidata.org/entity/Q117842307,Grotic,1996,Classic Mac OS,,,
http://www.wikidata.org/entity/Q117842328,Stöck Wyys Stich,1996,"Classic Mac OS,Microsoft Windows",,,
http://www.wikidata.org/entity/Q119718262,Galaxus,1996,Classic Mac OS,,,
http://www.wikidata.org/entity/Q119718267,Ravage,1996,MS-DOS,,60375,
http://www.wikidata.org/entity/Q124300353,Catch The Mac,1996,Classic Mac OS,,,
http://www.wikidata.org/entity/Q1341139,Enemy: Tempest of Violence,1997,Commodore Amiga,,55624,
http://www.wikidata.org/entity/Q104779714,Planète Blupi,1997,Microsoft Windows,,41393,
http://www.wikidata.org/entity/Q117842294,Blown Eye,1997,Classic Mac OS,,,
http://www.wikidata.org/entity/Q117842298,BonYx,1997,Classic Mac OS,,,
http://www.wikidata.org/entity/Q117842299,breakIn,1997,Classic Mac OS,,,
http://www.wikidata.org/entity/Q117842300,Bulldozer,1997,Smaky,,,
http://www.wikidata.org/entity/Q117842326,Samschtig Jass,1997,"Classic Mac OS,Microsoft Windows",,,
http://www.wikidata.org/entity/Q2394697,GLtron,1998,"Classic Mac OS,macOS,Microsoft Windows,Linux,Android",,8505,
http://www.wikidata.org/entity/Q7575719,Speedy Blupi,1998,"Smaky,MS-DOS,Microsoft Windows",,26645,
http://www.wikidata.org/entity/Q117842303,Chessterfield,1998,Microsoft Windows,,,
http://www.wikidata.org/entity/Q117842310,Indices,1998,Smaky,,,
http://www.wikidata.org/entity/Q117842318,Mad Locs,1998,Commodore Amiga,,,
http://www.wikidata.org/entity/Q117842317,Kiss 'n' Kill,1998,"Classic Mac OS,Microsoft Windows",,176762,
http://www.wikidata.org/entity/Q117842325,roTyx,1998,Classic Mac OS,,,
http://www.wikidata.org/entity/Q117842329,Stöck Wyys Stich Gold,1998,"Classic Mac OS,Microsoft Windows",,,
http://www.wikidata.org/entity/Q119718260,Cashtown,1998,Microsoft Windows,,,
http://www.wikidata.org/entity/Q119718270,Sex Komplex,1998,Microsoft Windows,,,
http://www.wikidata.org/entity/Q119718276,Welcome to Mupedza Nhamo,1998,Microsoft Windows,,,
http://www.wikidata.org/entity/Q124300359,Jeu interactif en relation avec la nature,1998,Microsoft Windows,,,
http://www.wikidata.org/entity/Q124300366,The Castle,1998,Classic Mac OS,,,
http://www.wikidata.org/entity/Q124300368,Xtazy,1998,MSX,,,
http://www.wikidata.org/entity/Q119718275,Toywar,1999,"browser game,web browser",,,
http://www.wikidata.org/entity/Q117842336,Blupi at Home,"1999,1995,1988","Smaky,MS-DOS",,,
http://www.wikidata.org/entity/Q3004206,Wipeout 2097,"1999,1996","Classic Mac OS,Sega Saturn,Commodore Amiga,PlayStation,Microsoft Windows",,3134,
